Department - 4,,
,,
Account Code,Account Title,Status
,,
0000,Commission Related,A
1001,Campus Events,A
1002,CEC - Speaker Program,A
1003,CEC - Film Program,A
1004,CEC - Concerts,A
1005,CEC - Special Events,A
1006,Trailer Production,A
1007,Shorttakes: Film Festival,A
1008,CEC - Festivals,A
1101,SOOF,A
1102,Special Olympics,A
1103,VNLC: Vietnamese Language & Culture,A
1104,Literacy: Project,A
1105,Kids Korner: Project,A
1106,Project MAC,A
1107,SET: Project,A
1108,Hunger Project,A
1109,Glendale Learning Project (GLP),A
1110,CSC Alternative Breaks,A
1112,KTP: Project,A
1113,IMPACT: Project,A
1114,Watts Tutorial Program,A
1115,Korean Tutorial Project (KTP),A
1125,CSC Supplement Funds for Service,A
1201,Cultural Affairs Commission (CAC),A
1202,Noon Concerts,A
1203,Concerts (formerly Jazz/Folk) Series,A
1204,Independent Film Series,A
1205,Art Gallery Series,A
1206,"Jazz Reggae Festival, UCLA",A
1207,Hip-Hop Congress Series,A
1208,Diversity Forum Series,A
1209,Dance LA,A
1210,Collective Series,A
1211,Boldside Sessions,A
1212,WorldFest,A
1213,Interns,A
1216,Special Events,A
1217,DiverseCity Tours,A
1219,Spoken Word Lounge (formerly Eclectic),A
1220,Performing Arts Collective,A
1221,Drama Series,A
1222,Student Arts Festival,A
1223,Comedy Series,A
1224,Commission Reserve,A
1225,Cultural Programming Fund,A
1226,CAC Reserve,A
1227,CommUnity,A
1301,Academic Affairs Commission (AAC),A
1302,AAC - Academic Inequity Awareness and Resource Week,A
1303,AAC - Academic Wellness Events,A
1304,AAC - Global Leadership Connection,A
1305,AAC - Professional Preparation Event,A
1306,AAC - Academic Counseling Crew,A
1307,AAC - Undergraduate Student Initiaed Education (USIE),A
1308,AAC - Academic Services,A
1309,AAC Humans of UCLA,A
1311,Mini Grant,A
1312,AAC Fight for Education Week,A
1313,Academic Affairs Travel Mini Fund (Social Justice),A
1314,AAC For The People Scholarship Foundation,A
1351,Academic Affairs Success Referendum,A
1401,Facilities Commission,A
1501,Financial Supports,A
1502,FSC: USAC Book Scholarship Fund,A
1503,FSC: Transportation Scholarship,A
1601,General Representative 1,A
1602,General Representative 2,A
1603,General Representative 3,A
1604,Transfer Student Representative,A
1605,International Student Representative,A
1701,Student Wellness Commission (SWC),A
1702,Gender Health,A
1703,"SWC - Envtl Awrness, Recycling & Terrestial Health (EARTH)",A
1704,SWC - CPR Standard 1st Aid Training,A
1705,SWC - AIDS Awareness,A
1706,Children's Walk for Life,I
1707,Substance Abuse,A
1708,SWC - Health Nutrition Fitness,A
1709,Pediatric AIDS Coalition (SWC-formerly Dance Marathon),A
1710,SWC - Active Minds,A
1711,SWC - Blood Drive,A
1712,SWC - Gender Health,A
1713,SWC - Total Wellness Newsletter,A
1714,Campus Retention Programming,A
1715,IronBruin Triathalon,A
1716,SWC Body Image,A
1717,SWC Student Health Investigatory,A
1718,SWC Sexperts,A
1719,SWC - Global Health,A
1720,"SWC - Run/Walk, UCLA",A
1721,SWC - Student Health Advocate,A
1725,SWC Programming Fund,A
1726,Student Health Network - SWC,A
1727,Fellowship - SWC,A
1728,Bruin Necessities,A
1729,SWC - Farmers'  Market at UCLA,A
1801,External Vice President,A
1802,EVP Travel Grant,A
1803,Student Lobby Conference (EVP),A
1804,Legislative Conference (EVP),A
