Event - 6,,
,,
Account Code,Account Title,Status
,,
00000,Commission/Dept Related,A
00003,June/July,A
00011,test,A
00405,Prior Year Other Income,A
00504,Prior Year Other Income,D
00718,GSA Westwood Forward,A
01102,Special Olympics (Transpo),A
01103,VNLC (Transpo),A
01104,Project Literacy (Transpo),A
01106,Project Mac (Transpo),A
01107,Project SET (Transpo),A
01108,Hunger Project (Transpo),A
01116,Watts Tutorial Program (Transpo),A
01117,Glendale Learning Project (Transpo),A
01118,Swipes for Homeless: Retreat 8/13-15/10,A
01119,LASA: Brd Retreat 8/6-8/10,A
01120,FAC: Director Rtrt pt. 2 8/7-8/10,A
01121,AEO: Retreat Conf 9/10-12/10,A
01122,BlaQue: QA Brd Rtrt 9/10-12/10,A
01123,LGC: Summer Rtrt 8/26-27/10,A
01124,LTN: Fall Retreat 8/27-29/10,A
01125,USAC: Retreat 9/3-5/10,A
01126,PISA: Trainning Retreat 8/28-29/10,A
01127,Samahang:Summer Board Retreat 8/10,A
01128,CSC: Summer in the Union,A
01129,PRES: Summer in the Union,A
01130,GR1: Director Retreat 9/16-17/10,A
01131,NPHC: Summer Retreat 9/11-13/10,A
01132,SP: Culture Night Committee 9/10-12/10,A
01133,TWM: Summer 2010 Issue 8/9-9/24/10,A
01134,BRUIN BASH,A
01135,FSC: Textbook Scholarship Fall 2010,A
01136,FC & GRP1: Joint Fall Retreat 10/8-10/10,A
01137,SP: All Leadership Retreat 9/17-19/10,A
01138,CSC: Fall Staff Retreat 2010 10/1-3/10,A
01139,Pres Office: Enormous Activites Fair 9/20/10,A
01140,Pres Office: Fall Retreat 9/24-26/10,A
01141,PTSP: Welcome Reception 9/28/10,A
01142,SP: Welcome Reception 9/23/10,A
01143,FC: Enormous Activities Fair 9/20/10,A
01144,GRP1: USAC Rollout 9/30/10,A
01145,CCB: Welcome Day 10/16/10,A
01146,GRP3: General Retreat 10/2-3/10,A
01147,SWC:  Director Retreat 10/1-3/10,A
01148,BC: Consulting Fair 10/5/10,A
01149,PSA: Welcome Banquet 10/1-/10,A
01150,APC: Staff Fall Retreat 10/1-3/10,A
01151,ASU: Black Convocation 10/7/10,A
01152,ASU: Black Welcome Week 10/8-15/10,A
01153,BlaQue: BBQueer 10/11/10,A
01154,GRP2: Retreat 10/15-17/10,A
01155,FSC: Greek Funding Workshop 10/6/10,A
01156,IVP: Annual Retreat 10/1-3/10,A
01157,FSC: Fall Retreat  10/15-17/10,A
01158,"LGSN: Fall Welcome BBQ, 10/8/10",A
01159,CSSA: New Student Welcome Party 9/26/10,A
01160,IGSA: Inside/Outside/Offisde Conf. 10/9/10,A
01161,"MGSS: Robynn Stilwell Speaks, 10/7/10",A
01162,AAC: Fall Staff Retreat 10/1-3/10,A
01163,"FGSC: Subversions of Hi/story Oct. 21-22, 2010",A
01164,"METIS: That's What She Said Nov.12-13, 2010",A
01165,"IES: Annual Conference Nov. 5-6, 2010",A
01166,"UBS: Invest. Bank. Workshp, 10/27-12/01/2010",A
01167,"UBS: Consulting Wrkshp, 10/27-12/01/2010",A
01168,"UBS: Financial Serv. Night, 10/13/2010",A
01169,Chi Alpha CF: Faith in Action. 10/18-19/2010,A
01170,"Roosevelt Inst: CA Prop 19 Debate, 10/12/10",A
01171,"Bruin Consult.: Defend Your Career, 10/21/10",A
01172,"USAC Fac Comm: 4th Ann Sus. Fair, 10/20/10",A
01173,GR1: USAC MIXER 10/20/10,A
01174,GR2: HALLOWEEN EVT 10/27/10,A
01175,KASEO: ALL-STAR ED OUTREACH 10/16-20/10,A
01176,CHINA CARE: OUTREACH SYMPOSIUM 10/27/10,A
01177,CSC: SERVICE JAMBOREE 11/9/10,A
01178,CHINACARE: FALL RTRT 10/8-10/10,A
01179,SAMAHANG: HISTORY MONTH 10/26/10,A
01180,PSA: BBQ 10/8/10,A
01181,SWE: WE10 Ann'l Conf. 11/4-6,A
01182,"CL: Demarest Factor, 11/8/10",A
01183,"FAST: Yvan Rodic, 11/9/10",A
01184,AICE: Nat'l Convention 11/5-7/10,A
01185,WV: Lives are On the Line 11/19/10,A
01186,"PISA: Higher Education Awarenes Evt, 11/15/10",A
01187,APHC: Gen Health Sites,A
01188,"Mobile Clinic: Diabetes and Foot Prevention, 11/1-30",A
01189,"HYPE!: Reoccuring, 11/1/10-1/30/11",A
01190,"APA: Health CARE, 11/1/10-01/30/11",A
01191,"Amigos de UCLA: Fall Field Trip, 11/20/10",A
01192,"Bruin Partners: Aquarium of the Pacific Field trp, 11/20/10",A
01193,"VLC: REACHE Tutoring, Reoccuring, 11/1/10-1/30/11",A
01194,"Project Lit: Reoccuring, 11/01/10-1/30/11",A
01195,"MEChA: Access and Community Proj, 11/01/10-01/30/111",A
01196,"LGL: University Field Trip, 11/13/2010",A
01197,Project Media Literacy: 11/1/10-01/30/11,A
01198,"NCAM: Venice Family Clinic, 11/2/10-1/10/11",A
01199,"YFF: Weekly Yoga Nurtition Lessons, 11/2/10-1/10/11",A
01200,"Circle K Int: Turning Point Trans. Housing, 11/12/10-1/30/11",A
01201,World Vision: Proj H 11/2/10-1/30/11,A
01202,"Hillel JSA: Humongous Sunday, 11/7/10",A
01203,"IYTP: Camp Miller Site Visits, 11/2/10-1/30/11",A
01204,LSHP: Casa Libre Supp. Housing Prog.: 11/19/10-1/30/11,A
01205,GMC-Grant toward Trip to Nicaragua,A
01206,AHGSA: Back to the Future 10/22/10,A
01207,CRANK: Ladies Night in Turkish 12/2/10,A
01208,GSA: Student-Athlete Mixer 11/30/10,A
01209,IHRLA: Genocide & Then What? 10/23/10,A
01210,ALGSA: Workshop East Asian Languages 3/18-19/11,A
01211,SJP: Israeli Div 10/25/10,A
